artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),0zo975x58DlXbZllWvfYhg,85,0.474,0.763,2,-4.632,1,0.0505,0.159,0.0,0.138,0.231,78.133,252386,4
Yahritza Y Su Esencia,Frágil,4JdSXF2p71cr8uCY3UiJM0,94,0.605,0.726,6,-4.515,1,0.0309,0.365,0.0,0.112,0.393,149.918,160518,4
Post Malone,Chemical,5w40ZYhbBMAlHYNDaVJIUu,91,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,184013,4
Peso Pluma,Bye,6n2P81rPk2RTzwnNNgFOdb,90,0.782,0.812,0,-6.613,1,0.0469,0.567,0.00045,0.101,0.7,122.063,212976,3
Taylor Swift,The Story Of Us (Taylor's Version),6dTA6y0C2ReQklntzZl8l3,85,0.515,0.781,4,-2.608,1,0.0535,0.00192,0.0,0.054,0.57,139.846,267653,4
Ice Spice,Princess Diana (with Nicki Minaj),0ZxhtATQ0a6EvQNZ0z6NKV,88,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,172125,4
Doja Cat,Attention,11xC6P3iKYpFThT6Ce1KdG,89,0.759,0.567,2,-7.911,1,0.248,0.118,0.0278,0.105,0.421,87.981,277044,4
Taylor Swift,Haunted (Taylor's Version),4tMzIAFTFdqGBQLdfbPces,84,0.427,0.915,5,-1.909,1,0.0619,0.00667,0.0,0.221,0.355,162.201,245413,4
Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),4s8BIKx4Zh6ryAEz8RTlaU,84,0.671,0.588,7,-4.675,1,0.0299,0.617,0.0,0.111,0.543,96.965,311765,4
Morgan Wallen,Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,84,0.624,0.766,8,-3.805,1,0.0359,0.199,8.62e-06,0.156,0.37,172.08,181621,4
Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse),37CoOXIsgF3NzbK1zHZetk,89,0.759,0.646,1,-7.603,1,0.12,0.231,0.0,0.161,0.445,111.043,186067,4
Becky G,Chanel,5RcxRGvmYai7kpFSfxe5GY,91,0.852,0.675,2,-5.738,1,0.0363,0.397,0.00317,0.0905,0.528,132.005,201993,3
Lana Del Rey,Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,93,0.49,0.352,6,-11.577,0,0.0254,0.709,0.0856,0.114,0.166,99.992,209156,4
Taylor Swift,Timeless (Taylor’s Version) (From The Vault),1HCdems7PQZRj42QDWLA0A,83,0.624,0.585,3,-5.847,1,0.0328,0.3,0.0,0.0916,0.65,142.883,321397,4
KAROL G,TQG,0DWdj2oZMBFSzRsi2Cvfzf,95,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,199440,4
